Ep: 241, Reward: -68.05111821086302, Avg: -58.19764503405583
Ep: 242, Reward: -65.25096525096603, Avg: -58.25161454058008
Ep: 243, Reward: -74.93036211699159, Avg: -58.6216078169224
Ep: 244, Reward: -70.37037037037061, Avg: -58.5963958579755
Ep: 245, Reward: -58.90410958904164, Avg: -58.36400838243736
Ep: 246, Reward: -22.222222222222744, Avg: -58.26882446131487
Ep: 247, Reward: -46.619217081851225, Avg: -58.039199141639074
Ep: 248, Reward: -82.20640569394973, Avg: -58.41071374802912
Ep: 249, Reward: -77.85977859778576, Avg: -58.75036763961752
Ep: 250, Reward: -55.55555555555637, Avg: -58.564225778198924
Ep: 251, Reward: -35.22267206477746, Avg: -58.63501537309819
Ep: 252, Reward: -75.26501766784445, Avg: -59.06948373159483
Ep: 253, Reward: -45.05494505494535, Avg: -59.065487727598814
Ep: 254, Reward: -61.30952380952466, Avg: -59.30564567196468
Ep: 255, Reward: -61.80555555555632, Avg: -59.25458358046142
Ep: 256, Reward: -30.23255813953508, Avg: -58.765242495190115
Ep: 257, Reward: -37.08609271523194, Avg: -58.40327899486151
Ep: 258, Reward: -64.02877697841782, Avg: -58.645573453608904
Ep: 259, Reward: -34.48275862069015, Avg: -58.21262326203803
Ep: 260, Reward: -55.78231292517076, Avg: -58.089595327459946
Ep: 261, Reward: -67.32026143790888, Avg: -58.18533315310665
Ep: 262, Reward: -78.9915966386552, Avg: -58.241408815310685
Ep: 263, Reward: -67.39130434782649, Avg: -58.58446684020159
Ep: 264, Reward: -64.40129449838165, Avg: -58.77995037342069
Ep: 265, Reward: -65.1567944250876, Avg: -58.60634349249674
Ep: 266, Reward: -67.74193548387132, Avg: -58.58116061685217
Ep: 267, Reward: -78.26086956521716, Avg: -58.59190619463363
Ep: 268, Reward: -78.57142857142833, Avg: -58.65253456969498
Ep: 269, Reward: -20.318725099601394, Avg: -58.164602129571314
Ep: 270, Reward: -41.74757281553483, Avg: -57.81386593719686
Ep: 271, Reward: -28.571428571428594, Avg: -57.388388887171075
Ep: 272, Reward: -26.75159235668785, Avg: -57.15590481073795
Ep: 273, Reward: -76.35135135135127, Avg: -57.31087739898455
Ep: 274, Reward: -62.328767123288166, Avg: -57.408617624961956
Ep: 275, Reward: -55.12820512820573, Avg: -57.24330048596062
Ep: 276, Reward: -72.78911564625861, Avg: -57.45196087319242
Ep: 277, Reward: -52.02952029520351, Avg: -57.22866633255471
Ep: 278, Reward: -28.104575163398714, Avg: -56.782439356915965
Ep: 279, Reward: -44.444444444444784, Avg: -56.78426085054073
Ep: 280, Reward: -83.60655737704866, Avg: -57.252296684534265
Ep: 281, Reward: -50.57034220532353, Avg: -57.171533941173955
Ep: 282, Reward: -70.49180327868879, Avg: -57.2200945856447
Ep: 283, Reward: -71.01449275362339, Avg: -57.07949324452422
Ep: 284, Reward: -73.8562091503268, Avg: -57.22483499704444
Ep: 285, Reward: -50.757575757576134, Avg: -57.29185131406075
Ep: 286, Reward: -79.66101694915224, Avg: -57.30904971884638
Ep: 287, Reward: -39.189189189189776, Avg: -57.10834901814569
Ep: 288, Reward: -54.7038327526136, Avg: -56.910164415735515
Ep: 289, Reward: -66.55518394648894, Avg: -56.84187595101789
Ep: 290, Reward: -7.692307692307898, Avg: -56.304651117973116
Ep: 291, Reward: -60.78431372549069, Avg: -56.34295783138695
Ep: 292, Reward: -56.81063122923663, Avg: -56.517124749739914
Ep: 293, Reward: -26.42140468227497, Avg: -56.50051687875445
Ep: 294, Reward: -60.28880866426052, Avg: -56.990776979048945
Ep: 295, Reward: -8.713692946058295, Avg: -56.844580575176195
Ep: 296, Reward: -48.52941176470624, Avg: -56.54394197111072
Ep: 297, Reward: -54.54545454545497, Avg: -56.40298536673948
Ep: 298, Reward: -81.24999999999962, Avg: -56.63339581450067
Ep: 299, Reward: -50.81967213114812, Avg: -56.414630078474254
Ep: 300, Reward: -46.42857142857176, Avg: -56.067595038043
Ep: 301, Reward: -70.29702970297055, Avg: -56.63331043311191
Ep: 302, Reward: -82.5783972125431, Avg: -56.94236578070202
Ep: 303, Reward: -67.21311475409874, Avg: -57.29246302993792
Ep: 304, Reward: -49.83277591973278, Avg: -57.439254952957775
Ep: 305, Reward: -31.654676258992843, Avg: -57.13122833670811
Ep: 306, Reward: -72.89156626506042, Avg: -57.35822829054645
Ep: 307, Reward: -51.923076923077446, Avg: -57.25546593262945
Ep: 308, Reward: -75.43859649122798, Avg: -57.298869238582185
Ep: 309, Reward: -75.20661157024787, Avg: -57.55093535428467
Ep: 310, Reward: -37.29372937293743, Avg: -57.20756059127644
Ep: 311, Reward: 10.71428571428544, Avg: -56.49002812374399
Ep: 312, Reward: -21.501706484641673, Avg: -55.979017791330115
Ep: 313, Reward: -82.33215547703135, Avg: -56.17905167486755
Ep: 314, Reward: -68.19787985865788, Avg: -56.359114764641866
Ep: 315, Reward: -6.614785992217943, Avg: -55.74900363175828
Ep: 316, Reward: -76.04790419161671, Avg: -55.8603598666569
Ep: 317, Reward: -77.19869706840376, Avg: -55.876249276365336
