LR: 0.0001, buffer: 10000, upd: 0.0004
Ep: 310, Reward: 13.360323886638836, Avg: -23.017736781691443
Ep: 311, Reward: -41.00294985250759, Avg: -23.150199740292567
Ep: 312, Reward: -28.571428571428587, Avg: -23.033920670525116
Ep: 313, Reward: -12.337662337662064, Avg: -22.932205042979227
Ep: 314, Reward: 27.586206896551108, Avg: -22.40822267326183
Ep: 315, Reward: -19.999999999999744, Avg: -22.374506198166042
Ep: 316, Reward: -29.260450160771732, Avg: -22.45002884923995
Ep: 317, Reward: -32.20338983050871, Avg: -22.400805262515092
Ep: 318, Reward: -25.675675675675592, Avg: -22.78206001123971
Ep: 319, Reward: -26.470588235294287, Avg: -22.68370856875189
Ep: 320, Reward: -18.367346938775754, Avg: -22.42638824931977
Ep: 321, Reward: -25.925925925925846, Avg: -22.324625144361775
Ep: 322, Reward: -43.894389438944195, Avg: -22.450854262118913
Ep: 323, Reward: -37.853107344633386, Avg: -22.856001305146993
Ep: 324, Reward: -28.571428571428658, Avg: -22.89643257199335
Ep: 325, Reward: -26.91029900332223, Avg: -22.60621352812826
Ep: 326, Reward: -30.06993006993008, Avg: -22.598954351318916
Ep: 327, Reward: -30.555555555555497, Avg: -22.537421299279536
Ep: 328, Reward: -32.432432432432456, Avg: -22.649416856480574
Ep: 329, Reward: -27.79783393501816, Avg: -22.529804834384976
Ep: 330, Reward: -13.385826771653827, Avg: -22.290528773743294
Ep: 331, Reward: -13.194444444444208, Avg: -22.073158149694585
Ep: 332, Reward: -35.384615384615465, Avg: -22.270377797516645
Ep: 333, Reward: 26.394052044608593, Avg: -21.75912544911357
Ep: 334, Reward: -12.213740458015398, Avg: -21.56385671034901
Ep: 335, Reward: -14.590747330961522, Avg: -21.564782771019217
Ep: 336, Reward: -31.271477663230304, Avg: -22.033960132685532
Ep: 337, Reward: -25.67567567567586, Avg: -22.048839633124597
Ep: 338, Reward: -27.33564013840821, Avg: -22.13852256512093
Ep: 339, Reward: -14.728682170543307, Avg: -22.115998066071647
Ep: 340, Reward: -30.69306930693073, Avg: -22.029957513134562
Ep: 341, Reward: -27.44479495268173, Avg: -22.165828683635155
Ep: 342, Reward: -24.999999999999968, Avg: -22.127572455877146
Ep: 343, Reward: -31.46417445482918, Avg: -22.206545410616524
Ep: 344, Reward: 49.63503649634993, Avg: -21.549355884813863
Ep: 345, Reward: 21.771217712176902, Avg: -21.064977041025426
Ep: 346, Reward: -20.9621993127152, Avg: -20.98405849361204
Ep: 347, Reward: -29.936305732484605, Avg: -20.971946141100815
Ep: 348, Reward: -23.63636363636354, Avg: -20.959297919756942
Ep: 349, Reward: -30.81761006289315, Avg: -20.98431989852207
Ep: 350, Reward: -25.675675675675656, Avg: -20.873988047683888
Ep: 351, Reward: -25.795053003534164, Avg: -20.895827466608115
Ep: 352, Reward: -27.536231884057962, Avg: -21.004523118782032
Ep: 353, Reward: -32.90734824281159, Avg: -21.055618261859962
Ep: 354, Reward: -31.89964157706154, Avg: -21.278229135461906
Ep: 355, Reward: -11.538461538462263, Avg: -20.970536827769607
Ep: 356, Reward: -27.586206896551747, Avg: -20.94874003385887
Ep: 357, Reward: -23.357664233576443, Avg: -21.229248084136874
Ep: 358, Reward: -35.975609756098265, Avg: -21.810378227499385
Ep: 359, Reward: 17.64705882352872, Avg: -21.825960619396536
Ep: 360, Reward: -20.63492063492068, Avg: -21.708466409375642
Ep: 361, Reward: -22.222222222222495, Avg: -21.708466409375642
Ep: 362, Reward: -36.877076411960246, Avg: -21.601712697970765
Ep: 363, Reward: -42.492012779552866, Avg: -22.20520425433772
Ep: 364, Reward: -21.708185053380678, Avg: -22.447130825368426
Ep: 365, Reward: -26.056338028169026, Avg: -22.307694205650108
Ep: 366, Reward: -29.530201342282336, Avg: -22.310066926143644
Ep: 367, Reward: -26.73992673992734, Avg: -22.302103874702333
Ep: 368, Reward: -44.80519480519522, Avg: -22.55601662861509
Ep: 369, Reward: -29.292929292929408, Avg: -22.283728530240026
Ep: 370, Reward: -21.933085501859242, Avg: -22.07813925746309
Ep: 371, Reward: -33.54430379746854, Avg: -22.106651602368466
Ep: 372, Reward: -23.588039867109487, Avg: -21.916856325363884
Ep: 373, Reward: -31.271477663230282, Avg: -21.924015546440618
Ep: 374, Reward: -9.722222222222557, Avg: -21.737748672089637
Ep: 375, Reward: -32.90734824281148, Avg: -21.689772974189882
Ep: 376, Reward: -30.92105263157908, Avg: -21.773631387829617
Ep: 377, Reward: -31.147540983606696, Avg: -21.8040610460317
Ep: 378, Reward: -27.631578947368425, Avg: -21.744712499841047
Ep: 379, Reward: 18.58974358974373, Avg: -21.63127883205955
Ep: 380, Reward: -42.528735632184166, Avg: -22.401104003507438
Ep: 381, Reward: -22.53521126760614, Avg: -22.697884687612078
Ep: 382, Reward: -5.660377358490418, Avg: -22.4791261423564
Ep: 383, Reward: -32.90734824281163, Avg: -22.585584783795113
Ep: 384, Reward: -18.56677524429991, Avg: -22.52394070828112
Ep: 385, Reward: -24.836601307189472, Avg: -23.017589740220945
Ep: 386, Reward: -16.129032258064587, Avg: -22.580217855443724
Ep: 387, Reward: -16.666666666666785, Avg: -22.77891299186128
Ep: 388, Reward: -27.631578947368606, Avg: -22.71956444567063
Ep: 389, Reward: -19.86062717770044, Avg: -22.684454242351848
Ep: 390, Reward: -26.666666666666686, Avg: -22.636479164470224
Ep: 391, Reward: -32.907348242811565, Avg: -22.60657828792398
Ep: 392, Reward: -16.34980988593137, Avg: -22.4718307727482
Ep: 393, Reward: -40.70080862533759, Avg: -22.60048834353766
Ep: 394, Reward: 7.594936708860995, Avg: -22.69571014762021
Ep: 395, Reward: -19.708029197080243, Avg: -22.83355699011366
Ep: 396, Reward: -15.611814345991629, Avg: -22.746254080942
Ep: 397, Reward: -33.962264150943405, Avg: -23.225582604804366
Ep: 398, Reward: -25.675675675675564, Avg: -23.230638681289015
