Agent: ppo, Model: <class 'utils.envs.ImgStack'>, State: [64, 64, 2], Dir: pytorch
Ep: 194, Reward: 383.6989, Test: 102.2098, Avg: 61.7555
Ep: 195, Reward: 244.5463, Test: 182.0903, Avg: 64.1208
Ep: 196, Reward: 144.2736, Test: 1.6255, Avg: 64.7924
Ep: 197, Reward: 334.1589, Test: 38.2781, Avg: 65.5843
Ep: 198, Reward: 345.7493, Test: 438.3177, Avg: 70.2008
Ep: 199, Reward: 319.7307, Test: 135.6304, Avg: 71.7942
Ep: 200, Reward: 272.9251, Test: 149.0997, Avg: 73.7175
Ep: 201, Reward: 369.2517, Test: 121.6476, Avg: 75.0616
Ep: 202, Reward: 416.9269, Test: 253.7301, Avg: 77.7429
Ep: 203, Reward: 397.8616, Test: 175.4351, Avg: 79.8296
Ep: 204, Reward: 398.8229, Test: 283.0905, Avg: 83.1739
Ep: 205, Reward: 337.7489, Test: 113.2827, Avg: 84.7326
Ep: 206, Reward: 340.2076, Test: 115.7889, Avg: 86.3351
Ep: 207, Reward: 355.4492, Test: 241.6989, Avg: 88.9131
Ep: 208, Reward: 435.1383, Test: 125.9055, Avg: 90.3603
Ep: 209, Reward: 372.9437, Test: 26.6074, Avg: 90.8820
Ep: 210, Reward: 312.2132, Test: 184.6094, Avg: 92.9309
Ep: 211, Reward: 388.4443, Test: 99.6897, Avg: 94.1776
Ep: 212, Reward: 527.1122, Test: 222.4593, Avg: 96.5525
Ep: 213, Reward: 443.0026, Test: 68.0859, Avg: 97.4277
Ep: 214, Reward: 327.1476, Test: 339.4952, Avg: 101.0294
Ep: 215, Reward: 372.1661, Test: 247.6758, Avg: 103.8408
Ep: 216, Reward: 265.6236, Test: 250.0786, Avg: 106.1462
Ep: 217, Reward: 380.3211, Test: 145.5638, Avg: 107.5831
Ep: 218, Reward: 307.1061, Test: 135.0821, Avg: 109.3197
Ep: 219, Reward: 252.2292, Test: 171.2057, Avg: 111.4104
Ep: 220, Reward: 342.9595, Test: 300.1175, Avg: 114.6035
Ep: 221, Reward: 432.7384, Test: 279.1514, Avg: 117.3846
Ep: 222, Reward: 299.1123, Test: 178.6714, Avg: 119.5910
Ep: 223, Reward: 330.2456, Test: 331.0129, Avg: 123.0879
Ep: 224, Reward: 275.9971, Test: 109.4446, Avg: 124.3948
Ep: 225, Reward: 317.1908, Test: 139.5000, Avg: 125.8938
Ep: 226, Reward: 241.6581, Test: 221.8758, Avg: 128.3647
Ep: 227, Reward: 113.4116, Test: 216.5982, Avg: 130.5555
Ep: 228, Reward: 196.5573, Test: 52.8730, Avg: 131.1856
Ep: 229, Reward: 121.0289, Test: 191.7385, Avg: 133.2861
Ep: 230, Reward: 285.0564, Test: 274.6020, Avg: 136.2405
Ep: 231, Reward: 248.8816, Test: 3.3753, Avg: 136.1502
Ep: 232, Reward: 15.4886, Test: -30.9812, Avg: 135.8124
Ep: 233, Reward: -15.4693, Test: -17.0454, Avg: 135.7025
Ep: 234, Reward: -6.5608, Test: -34.2370, Avg: 135.5973
Ep: 235, Reward: 59.7353, Test: -15.1429, Avg: 135.4831
Ep: 236, Reward: -76.5338, Test: 0.2810, Avg: 135.1994
Ep: 237, Reward: 33.5243, Test: 2.3358, Avg: 134.8227
Ep: 238, Reward: 37.5600, Test: -16.5368, Avg: 134.6715
Ep: 239, Reward: 3.0793, Test: 26.1550, Avg: 134.5722
Ep: 240, Reward: -38.1854, Test: -23.8309, Avg: 134.1561
Ep: 241, Reward: 113.0530, Test: -21.0421, Avg: 133.9898
Ep: 242, Reward: -19.3719, Test: -38.6217, Avg: 133.8166
Ep: 243, Reward: 163.6742, Test: 126.4591, Avg: 135.4433
Ep: 244, Reward: 188.2518, Test: 90.4548, Avg: 136.5248
Ep: 245, Reward: 174.4596, Test: 54.3585, Avg: 137.3072
Ep: 246, Reward: 136.6520, Test: 126.4625, Avg: 138.5658
Ep: 247, Reward: 61.8347, Test: 26.9320, Avg: 138.9470
Ep: 248, Reward: 43.9247, Test: 13.6052, Avg: 138.8465
Ep: 249, Reward: 276.5892, Test: 38.6378, Avg: 138.8979
Ep: 250, Reward: 225.6158, Test: 123.6035, Avg: 140.1405
Ep: 251, Reward: 180.0250, Test: 253.2346, Avg: 142.5753
Ep: 252, Reward: 183.7284, Test: 180.1657, Avg: 143.4283
Ep: 253, Reward: 220.5908, Test: 219.8307, Avg: 144.9017
Ep: 254, Reward: 139.1860, Test: 62.8065, Avg: 145.1906
Ep: 255, Reward: 108.6953, Test: 67.0163, Avg: 145.0110
Ep: 256, Reward: 83.2252, Test: 292.2479, Avg: 147.3900
Ep: 257, Reward: 69.5096, Test: 28.3460, Avg: 147.3227
Ep: 258, Reward: 13.3033, Test: 18.8585, Avg: 146.6041
Ep: 259, Reward: -15.9146, Test: -28.3022, Avg: 144.9171
Ep: 260, Reward: -25.3887, Test: -23.8361, Avg: 142.7767
Ep: 261, Reward: -29.7548, Test: 12.1547, Avg: 140.9044
Ep: 262, Reward: -4.5509, Test: -30.6453, Avg: 138.7520
Ep: 263, Reward: -31.0165, Test: 6.4414, Avg: 135.8349
Ep: 264, Reward: 9.3718, Test: -46.5016, Avg: 132.9811
Ep: 265, Reward: 13.3329, Test: -40.2247, Avg: 129.1345
Ep: 266, Reward: -14.8994, Test: -5.8510, Avg: 126.6797
Ep: 267, Reward: -2.2822, Test: 19.2496, Avg: 124.1756
Ep: 268, Reward: 16.5021, Test: 30.6371, Avg: 120.7031
Ep: 269, Reward: 23.0309, Test: 3.6535, Avg: 118.8862
Ep: 270, Reward: 20.3835, Test: -36.3575, Avg: 115.9944
Ep: 271, Reward: 7.8461, Test: 27.1571, Avg: 114.1171
Ep: 272, Reward: 25.8877, Test: 81.0228, Avg: 111.6905
Ep: 273, Reward: 52.1359, Test: 100.3828, Avg: 109.3185
Ep: 274, Reward: 49.6916, Test: 49.6656, Avg: 107.6738
