Iteration 0
Ep: 173, Reward: 654.5365, Test: 703.5072, Avg: 483.8654
Ep: 174, Reward: 728.1176, Test: 686.1840, Avg: 485.2203
Ep: 175, Reward: 662.0517, Test: 410.0302, Avg: 486.4198
Ep: 176, Reward: 772.9664, Test: 425.4752, Avg: 486.5302
Ep: 177, Reward: 573.8099, Test: 820.6910, Avg: 492.9628
Ep: 178, Reward: 853.9614, Test: 726.3218, Avg: 499.2680
Ep: 179, Reward: 838.4961, Test: 712.8003, Avg: 504.0540
Ep: 180, Reward: 757.7801, Test: 702.0374, Avg: 507.4024
Ep: 181, Reward: 730.3744, Test: 568.9916, Avg: 509.3747
Ep: 182, Reward: 758.9706, Test: 764.8179, Avg: 513.5570
Ep: 183, Reward: 411.7184, Test: 593.3414, Avg: 517.7918
Ep: 184, Reward: 696.1039, Test: 759.3927, Avg: 520.6077
Ep: 185, Reward: 793.1857, Test: 703.9337, Avg: 524.8216
Ep: 186, Reward: 810.0524, Test: 633.0748, Avg: 528.5257
Ep: 187, Reward: 526.7963, Test: 575.7277, Avg: 530.9931
Ep: 188, Reward: 765.9556, Test: 673.9521, Avg: 532.9491
Ep: 189, Reward: 597.7106, Test: 616.9808, Avg: 536.8370
Ep: 190, Reward: 800.2706, Test: 798.3461, Avg: 540.5074
Ep: 191, Reward: 549.0934, Test: 605.2672, Avg: 543.3974
Ep: 192, Reward: 748.6586, Test: 755.8528, Avg: 548.8847
Ep: 193, Reward: 826.0753, Test: 792.8429, Avg: 551.2431
Ep: 194, Reward: 757.1673, Test: 696.6834, Avg: 555.3479
Ep: 195, Reward: 729.5352, Test: 803.0770, Avg: 561.2018
Ep: 196, Reward: 711.9777, Test: 722.6581, Avg: 564.3442
Ep: 197, Reward: 789.1953, Test: 709.7438, Avg: 568.7785
Ep: 198, Reward: 549.8520, Test: 703.8426, Avg: 571.0289
Ep: 199, Reward: 682.4522, Test: 732.0479, Avg: 574.2621
Ep: 200, Reward: 863.2842, Test: 789.2179, Avg: 576.8260
Ep: 201, Reward: 660.1381, Test: 602.9008, Avg: 578.7853
Ep: 202, Reward: 692.5907, Test: 591.9188, Avg: 578.9282
Ep: 203, Reward: 676.9676, Test: 548.6165, Avg: 579.1579
Ep: 204, Reward: 557.1069, Test: 667.1126, Avg: 581.3433
Ep: 205, Reward: 752.3595, Test: 638.9581, Avg: 584.6006
Ep: 206, Reward: 725.3190, Test: 733.6614, Avg: 589.1447
Ep: 207, Reward: 599.7352, Test: 444.2109, Avg: 589.7278
Ep: 208, Reward: 574.8701, Test: 613.0238, Avg: 590.9206
Ep: 209, Reward: 730.1994, Test: 615.1367, Avg: 592.7027
Ep: 210, Reward: 555.5104, Test: 576.0441, Avg: 594.5691
Ep: 211, Reward: 608.7386, Test: 642.5089, Avg: 597.8022
Ep: 212, Reward: 638.4389, Test: 538.2830, Avg: 598.5119
Ep: 213, Reward: 587.4826, Test: 602.1452, Avg: 598.3742
Ep: 214, Reward: 711.7053, Test: 478.9967, Avg: 600.7998
Ep: 215, Reward: 541.2162, Test: 662.1310, Avg: 602.3815
Ep: 216, Reward: 548.4444, Test: 520.7678, Avg: 603.9299
Ep: 217, Reward: 703.4936, Test: 555.3258, Avg: 604.6124
Ep: 218, Reward: 514.6896, Test: 606.9138, Avg: 605.0362
Ep: 219, Reward: 658.1918, Test: 464.1327, Avg: 605.7608
Ep: 220, Reward: 570.5315, Test: 520.2230, Avg: 605.8892
Ep: 221, Reward: 473.6114, Test: 558.2782, Avg: 606.6082
Ep: 222, Reward: 542.7230, Test: 604.8952, Avg: 605.1779
Ep: 223, Reward: 564.8196, Test: 602.4313, Avg: 603.4791
Ep: 224, Reward: 820.9358, Test: 655.4987, Avg: 602.3568
Ep: 225, Reward: 801.4586, Test: 731.5540, Avg: 603.9890
Ep: 226, Reward: 730.9810, Test: 540.6479, Avg: 602.2392
Ep: 227, Reward: 726.3046, Test: 650.5644, Avg: 602.7017
Ep: 228, Reward: 644.0604, Test: 783.0807, Avg: 604.2894
Ep: 229, Reward: 673.8577, Test: 604.7062, Avg: 602.3021
Ep: 230, Reward: 520.5576, Test: 646.1688, Avg: 604.2430
Ep: 231, Reward: 746.6473, Test: 701.5255, Avg: 606.2040
Ep: 232, Reward: 451.5311, Test: 628.6490, Avg: 606.7592
Ep: 233, Reward: 537.2099, Test: 624.1999, Avg: 607.4908
Ep: 234, Reward: 528.8688, Test: 668.9027, Avg: 608.3920
Ep: 235, Reward: 569.6045, Test: 819.5971, Avg: 610.4596
Ep: 236, Reward: 595.8699, Test: 657.5429, Avg: 610.2069
Ep: 237, Reward: 637.9930, Test: 594.4422, Avg: 612.6055
Ep: 238, Reward: 632.7744, Test: 710.0290, Avg: 615.0837
Ep: 239, Reward: 433.5367, Test: 588.2810, Avg: 616.0301
Ep: 240, Reward: 589.0959, Test: 555.0103, Avg: 614.4100
Ep: 241, Reward: 553.6176, Test: 787.3855, Avg: 616.9583
Ep: 242, Reward: 633.9544, Test: 293.8622, Avg: 614.3654
Ep: 243, Reward: 472.9107, Test: 578.8823, Avg: 613.9901
Ep: 244, Reward: 434.2475, Test: 414.2305, Avg: 611.1874
Ep: 245, Reward: 622.1921, Test: 524.4188, Avg: 611.4015
Ep: 246, Reward: 595.3428, Test: 409.1042, Avg: 610.4972
Ep: 247, Reward: 495.5138, Test: 386.8911, Avg: 608.1798
Ep: 248, Reward: 429.1841, Test: 493.1112, Avg: 607.0637
Ep: 249, Reward: 489.2882, Test: 612.2102, Avg: 608.5097
Ep: 250, Reward: 647.7591, Test: 490.4641, Avg: 609.1901
Ep: 251, Reward: 612.3273, Test: 492.3735, Avg: 609.8848
Ep: 252, Reward: 443.7883, Test: 474.8801, Avg: 607.5025
Ep: 253, Reward: 459.8009, Test: 555.3387, Avg: 608.6987
Ep: 254, Reward: 759.9596, Test: 383.1127, Avg: 606.7921
Ep: 255, Reward: 816.0752, Test: 727.7860, Avg: 610.0183
Ep: 256, Reward: 725.9957, Test: 414.7936, Avg: 610.5045
Ep: 257, Reward: 615.2059, Test: 665.4785, Avg: 611.6525
Ep: 258, Reward: 592.2272, Test: 649.2966, Avg: 612.8854
Ep: 259, Reward: 395.1696, Test: 571.5100, Avg: 611.4556
Ep: 260, Reward: 432.6219, Test: 715.5633, Avg: 613.6785
Ep: 261, Reward: 625.9394, Test: 544.9101, Avg: 611.8000
Ep: 262, Reward: 423.3655, Test: 455.8684, Avg: 609.4997
Ep: 263, Reward: 436.7283, Test: 429.7567, Avg: 607.7380
Ep: 264, Reward: 494.0657, Test: 696.8873, Avg: 610.5418
Ep: 265, Reward: 581.1628, Test: 754.8348, Avg: 611.3737
Ep: 266, Reward: 883.2810, Test: 622.8772, Avg: 612.4828
Ep: 267, Reward: 770.1855, Test: 689.3991, Avg: 612.7833
Ep: 268, Reward: 662.2572, Test: 710.9747, Avg: 615.2983
Ep: 269, Reward: 505.9283, Test: 623.7726, Avg: 614.8730
Ep: 270, Reward: 774.3436, Test: 537.0218, Avg: 615.0907
Ep: 271, Reward: 694.9684, Test: 679.2315, Avg: 615.0170
Ep: 272, Reward: 427.7175, Test: 591.0733, Avg: 617.1316
Ep: 273, Reward: 815.5658, Test: 809.4900, Avg: 618.1914
Ep: 274, Reward: 593.0169, Test: 668.8952, Avg: 618.0185
Ep: 275, Reward: 526.6808, Test: 764.6566, Avg: 621.5648
Ep: 276, Reward: 589.7378, Test: 722.1852, Avg: 624.5319
Ep: 277, Reward: 556.4526, Test: 708.3906, Avg: 623.4089
Ep: 278, Reward: 721.7561, Test: 714.7459, Avg: 623.2931
Ep: 279, Reward: 464.8591, Test: 743.9817, Avg: 623.6049
Ep: 280, Reward: 492.6438, Test: 737.8053, Avg: 623.9626
Ep: 281, Reward: 488.2108, Test: 804.4976, Avg: 626.3177
Ep: 282, Reward: 697.8306, Test: 663.3132, Avg: 625.3026
Ep: 283, Reward: 694.6542, Test: 680.0643, Avg: 626.1698
Ep: 284, Reward: 751.1852, Test: 582.2128, Avg: 624.3980
Ep: 285, Reward: 798.2144, Test: 628.7638, Avg: 623.6463
Ep: 286, Reward: 724.3000, Test: 501.9713, Avg: 622.3353
Ep: 287, Reward: 812.5619, Test: 549.0857, Avg: 622.0689
Ep: 288, Reward: 693.4984, Test: 590.4523, Avg: 621.2339
Ep: 289, Reward: 550.3864, Test: 457.9438, Avg: 619.6435
Ep: 290, Reward: 578.7095, Test: 483.7903, Avg: 616.4980
Ep: 291, Reward: 349.1709, Test: 581.4816, Avg: 616.2601
Ep: 292, Reward: 530.9497, Test: 578.3306, Avg: 614.4849
Ep: 293, Reward: 668.8421, Test: 636.2394, Avg: 612.9189
Ep: 294, Reward: 531.8222, Test: 521.6846, Avg: 611.1689
Ep: 295, Reward: 619.3788, Test: 567.4921, Avg: 608.8130
